team_name,common_name,country,matches_played,matches_played_home,matches_played_away,wins,wins_home,wins_away,draws
Huddersfield Town FC,Huddersfield Town,England,38,19,19,3,2,1,7
Fulham FC,Fulham,England,38,19,19,7,6,1,5
Southampton FC,Southampton,England,38,19,19,9,5,4,12
Brighton & Hove Albion FC,Brighton & Hove Albion,England,38,19,19,9,6,3,9
Cardiff City FC,Cardiff City,Wales,38,19,19,10,6,4,4
Burnley FC,Burnley,England,38,19,19,11,7,4,7
Newcastle United FC,Newcastle United,England,38,19,19,12,8,4,9
AFC Bournemouth,AFC Bournemouth,England,38,19,19,13,8,5,6
Crystal Palace FC,Crystal Palace,England,38,19,19,14,5,9,7
Watford FC,Watford,England,38,19,19,14,8,6,8
Leicester City FC,Leicester City,England,38,19,19,15,8,7,7
Everton FC,Everton,England,38,19,19,15,10,5,9
West Ham United FC,West Ham United,England,38,19,19,15,9,6,7
Wolverhampton Wanderers FC,Wolverhampton Wanderers,England,38,19,19,16,10,6,9
Manchester United FC,Manchester United,England,38,19,19,19,10,9,9
Arsenal FC,Arsenal,England,38,19,19,21,14,7,7
Chelsea FC,Chelsea,England,38,19,19,21,12,9,9
Tottenham Hotspur FC,Tottenham Hotspur,England,38,19,19,23,12,11,2
Liverpool FC,Liverpool,England,38,19,19,30,17,13,7
Manchester City FC,Manchester City,England,38,19,19,32,18,14,2
